dataset,arm,backbone,h,seed,L,mse
jeju_wind,raw,linmix,24,0,336,0.309233
jeju_wind,raw,linmix,24,1,336,0.336627
jeju_wind,raw,linmix,24,2,336,0.306159
jeju_wind,raw,linmix,24,3,336,0.324223
jeju_wind,raw,linmix,24,4,336,0.304175
jeju_wind,revin,linmix,24,0,336,0.325076
jeju_wind,revin,linmix,24,1,336,0.316806
jeju_wind,revin,linmix,24,2,336,0.314142
jeju_wind,revin,linmix,24,3,336,0.323694
jeju_wind,revin,linmix,24,4,336,0.298876
jeju_wind,san,linmix,24,0,336,0.340833
jeju_wind,san,linmix,24,1,336,0.342515
jeju_wind,san,linmix,24,2,336,0.34941
jeju_wind,san,linmix,24,3,336,0.343794
jeju_wind,san,linmix,24,4,336,0.369976
jeju_wind,fan,linmix,24,0,336,0.579167
jeju_wind,fan,linmix,24,1,336,0.579049
jeju_wind,fan,linmix,24,2,336,0.515494
jeju_wind,fan,linmix,24,3,336,0.546143
jeju_wind,fan,linmix,24,4,336,0.570792
jeju_wind,condnorm,linmix,24,0,336,0.289509
jeju_wind,condnorm,linmix,24,1,336,0.30234
jeju_wind,condnorm,linmix,24,2,336,0.293826
jeju_wind,condnorm,linmix,24,3,336,0.296372
jeju_wind,condnorm,linmix,24,4,336,0.293519
jeju_wind,raw,mlpmix,24,0,336,0.340197
jeju_wind,raw,mlpmix,24,1,336,0.378488
jeju_wind,raw,mlpmix,24,2,336,0.33366
jeju_wind,raw,mlpmix,24,3,336,0.320208
jeju_wind,raw,mlpmix,24,4,336,0.367523
jeju_wind,revin,mlpmix,24,0,336,0.357142
jeju_wind,revin,mlpmix,24,1,336,0.365244
jeju_wind,revin,mlpmix,24,2,336,0.367756
jeju_wind,revin,mlpmix,24,3,336,0.369432
jeju_wind,revin,mlpmix,24,4,336,0.34112
jeju_wind,san,mlpmix,24,0,336,0.390746
jeju_wind,san,mlpmix,24,1,336,0.385947
jeju_wind,san,mlpmix,24,2,336,0.364741
jeju_wind,san,mlpmix,24,3,336,0.415162
jeju_wind,san,mlpmix,24,4,336,0.379532
jeju_wind,fan,mlpmix,24,0,336,0.543019
jeju_wind,fan,mlpmix,24,1,336,0.542258
jeju_wind,fan,mlpmix,24,2,336,0.555657
jeju_wind,fan,mlpmix,24,3,336,0.565062
jeju_wind,fan,mlpmix,24,4,336,0.600781
jeju_wind,condnorm,mlpmix,24,0,336,0.29561
jeju_wind,condnorm,mlpmix,24,1,336,0.30602
jeju_wind,condnorm,mlpmix,24,2,336,0.307304
jeju_wind,condnorm,mlpmix,24,3,336,0.294897
jeju_wind,condnorm,mlpmix,24,4,336,0.302574
jeju_wind,raw,lgbmcov,24,0,336,0.244127
jeju_wind,revin,lgbmcov,24,0,336,0.272695
jeju_wind,condnorm,lgbmcov,24,0,336,0.28584
jeju_wind,raw,linmix,48,0,336,0.337464
jeju_wind,raw,linmix,48,1,336,0.340167
jeju_wind,raw,linmix,48,2,336,0.341762
jeju_wind,raw,linmix,48,3,336,0.344499
jeju_wind,raw,linmix,48,4,336,0.363548
jeju_wind,revin,linmix,48,0,336,0.345437
jeju_wind,revin,linmix,48,1,336,0.36337
jeju_wind,revin,linmix,48,2,336,0.359499
jeju_wind,revin,linmix,48,3,336,0.347878
jeju_wind,revin,linmix,48,4,336,0.350078
jeju_wind,san,linmix,48,0,336,0.374085
jeju_wind,san,linmix,48,1,336,0.362796
jeju_wind,san,linmix,48,2,336,0.370152
jeju_wind,san,linmix,48,3,336,0.37216
jeju_wind,san,linmix,48,4,336,0.370975
jeju_wind,fan,linmix,48,0,336,0.653926
jeju_wind,fan,linmix,48,1,336,0.647836
jeju_wind,fan,linmix,48,2,336,0.631565
jeju_wind,fan,linmix,48,3,336,0.64966
jeju_wind,fan,linmix,48,4,336,0.648623
jeju_wind,condnorm,linmix,48,0,336,0.30713
jeju_wind,condnorm,linmix,48,1,336,0.29652
jeju_wind,condnorm,linmix,48,2,336,0.3002
jeju_wind,condnorm,linmix,48,3,336,0.299396
jeju_wind,condnorm,linmix,48,4,336,0.306556
jeju_wind,raw,mlpmix,48,0,336,0.354798
jeju_wind,raw,mlpmix,48,1,336,0.374477
jeju_wind,raw,mlpmix,48,2,336,0.370674
jeju_wind,raw,mlpmix,48,3,336,0.369265
jeju_wind,raw,mlpmix,48,4,336,0.36943
jeju_wind,revin,mlpmix,48,0,336,0.388207
jeju_wind,revin,mlpmix,48,1,336,0.407935
jeju_wind,revin,mlpmix,48,2,336,0.382079
jeju_wind,revin,mlpmix,48,3,336,0.38667
jeju_wind,revin,mlpmix,48,4,336,0.383151
jeju_wind,san,mlpmix,48,0,336,0.390139
jeju_wind,san,mlpmix,48,1,336,0.406256
jeju_wind,san,mlpmix,48,2,336,0.403446
jeju_wind,san,mlpmix,48,3,336,0.394865
jeju_wind,san,mlpmix,48,4,336,0.411381
jeju_wind,fan,mlpmix,48,0,336,0.71416
jeju_wind,fan,mlpmix,48,1,336,0.605652
jeju_wind,fan,mlpmix,48,2,336,0.668371
jeju_wind,fan,mlpmix,48,3,336,0.64398
jeju_wind,fan,mlpmix,48,4,336,0.688673
jeju_wind,condnorm,mlpmix,48,0,336,0.304139
jeju_wind,condnorm,mlpmix,48,1,336,0.295729
jeju_wind,condnorm,mlpmix,48,2,336,0.30203
jeju_wind,condnorm,mlpmix,48,3,336,0.30012
jeju_wind,condnorm,mlpmix,48,4,336,0.305503
jeju_wind,raw,lgbmcov,48,0,336,0.257042
jeju_wind,revin,lgbmcov,48,0,336,0.297815
